LOCATION,Country,SECTOR,Sector / Industry,RESTYPE,Type of restriction,SERIES,Series2,TIME,Year,Value,Flag Codes,Flags
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,11,"Metals, machinery and other minerals",V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,12,"Electric, Electronics and other instruments",V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,13,Transport equipment,V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2016,2016,0.2,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2017,2017,0.2,,
AUS,Australia,14,Electricity,V,All types of restrictions,INDEX,Index total,2018,2018,0.2,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2016,2016,0.2,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2017,2017,0.2,,
AUS,Australia,15,Electricity generation,V,All types of restrictions,INDEX,Index total,2018,2018,0.2,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2016,2016,0.2,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2017,2017,0.2,,
AUS,Australia,16,Electricity distribution,V,All types of restrictions,INDEX,Index total,2018,2018,0.2,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,17,Construction,V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,1997,1997,0.332,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2003,2003,0.315,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2006,2006,0.296,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2010,2010,0.179,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2011,2011,0.179,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2012,2012,0.179,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2013,2013,0.179,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2014,2014,0.178,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2015,2015,0.178,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2016,2016,0.179,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2017,2017,0.181,,
AUS,Australia,18,Tertiary,V,All types of restrictions,INDEX,Index total,2018,2018,0.181,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,19,Distribution,V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,20,Wholesale,V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2016,2016,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2017,2017,0.075,,
AUS,Australia,21,Retail,V,All types of restrictions,INDEX,Index total,2018,2018,0.075,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,1997,1997,0.325,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2003,2003,0.292,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2006,2006,0.292,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2010,2010,0.267,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2011,2011,0.267,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2012,2012,0.267,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2013,2013,0.267,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2014,2014,0.26,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2015,2015,0.26,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2016,2016,0.268,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2017,2017,0.268,,
AUS,Australia,22,Transport,V,All types of restrictions,INDEX,Index total,2018,2018,0.268,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,1997,1997,0.2,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2003,2003,0.175,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2006,2006,0.175,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2010,2010,0.075,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2011,2011,0.075,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2012,2012,0.075,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2013,2013,0.075,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2014,2014,0.075,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2015,2015,0.075,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2016,2016,0.1,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2017,2017,0.1,,
AUS,Australia,23,Surface,V,All types of restrictions,INDEX,Index total,2018,2018,0.1,,
AUS,Australia,24,Maritime,V,All types of restrictions,INDEX,Index total,1997,1997,0.25,,
AUS,Australia,24,Maritime,V,All types of restrictions,INDEX,Index total,2003,2003,0.225,,
AUS,Australia,24,Maritime,V,All types of restrictions,INDEX,Index total,2006,2006,0.225,,
AUS,Australia,24,Maritime,V,All types of restrictions,INDEX,Index total,2010,2010,0.25,,
AUS,Australia,24,Maritime,V,All types of restrictions,INDEX,Index total,2011,2011,0.25,,
AUS,Australia,24,Maritime,V,All types of restrictions,INDEX,Index total,2012,2012,0.25,,
AUS,Australia,24,Maritime,V,All types of restrictions,INDEX,Index total,2013,2013,0.25,,
